time,RSSI,time,lat,long,GPS MSL,SVs,time,acceleration,time,pressure,Pressure MSL,Pressure AGL,time,comp. bat. voltage,time,state,A cont.,B cont.,C cont.,D cont.,A on., B on,C on,D on,time,eject. bat. voltage,time,GPS Time of Week, valid leap seconds, leap seconds,time,temperature
10.702,-90,133.311,38.397007,-78.063348,858.39307,15,133.74,1.03125,194.84,93796,646.469,-516.592,,,,,,,,,,,,,,,,,,,,
10.812,-90,133.954,38.396985,-78.063373,856.31006,15,134.669,1.02734,196.08,93845,642.127,-520.933,,,,,,,,,,,,,,,,,,,,
10.952,-89,134.549,38.396962,-78.0634,854.35004,15,135.321,1.06641,197.56,93915,635.931,-527.13,,,,,,,,,,,,,,,,,,,,
11.062,-90,135.064,38.396938,-78.063427,852.32605,15,135.911,0.925781,198.82,93964,631.593,-531.468,,,,,,,,,,,,,,,,,,,,
11.171,-90,135.867,38.396906,-78.063467,849.65704,15,136.673,1.04297,199.98,94019,626.728,-536.333,,,,,,,,,,,,,,,,,,,,
11.281,-89,136.549,38.396883,-78.063493,847.46606,15,137.463,0.976562,201.5,94104,619.213,-543.847,,,,,,,,,,,,,,,,,,,,
11.406,-90,137.265,38.39685,-78.063527,844.98602,15,138.195,1.11328,202.82,94218,609.144,-553.917,,,,,,,,,,,,,,,,,,,,
11.515,-89,137.877,38.39683,-78.063551,843.18805,15,138.935,0.992188,204.24,94304,601.552,-561.508,,,,,,,,,,,,,,,,,,,,
11.64,-88,138.668,38.396814,-78.063571,841.28503,15,139.546,1.03516,205.52,94359,596.701,-566.36,,,,,,,,,,,,,,,,,,,,
11.75,-89,139.212,38.396783,-78.063597,838.75702,15,140.206,0.925781,206.76,94429,590.531,-572.529,,,,,,,,,,,,,,,,,,,,
11.858,-90,139.93,38.396745,-78.063612,836.19904,15,140.885,0.925781,208.28,94530,581.635,-581.426,,,,,,,,,,,,,,,,,,,,
11.983,-90,140.544,38.396699,-78.063623,833.44006,15,141.535,1.14453,209.54,94555,579.434,-583.627,,,,,,,,,,,,,,,,,,,,
12.093,-91,141.431,38.396633,-78.063634,830.36206,15,142.256,1.11328,210.92,94641,571.864,-591.197,,,,,,,,,,,,,,,,,,,,
12.202,-90,141.973,38.396581,-78.063636,828.19604,15,142.946,1.14844,212.42,94742,562.983,-600.078,,,,,,,,,,,,,,,,,,,,
12.327,-90,142.785,38.396514,-78.063613,825.03204,15,143.635,1.02734,213.76,94796,558.237,-604.824,,,,,,,,,,,,,,,,,,,,
12.452,-91,143.266,38.396474,-78.063579,822.24005,15,144.425,1.02344,215.02,94856,552.969,-610.092,,,,,,,,,,,,,,,,,,,,
12.562,-90,143.944,38.396446,-78.063536,819.08307,15,144.991,1.07031,216.36,94927,546.735,-616.325,,,,,,,,,,,,,,,,,,,,
12.671,-90,144.518,38.396433,-78.063499,816.31201,15,145.701,1.23828,217.64,94991,541.12,-621.94,,,,,,,,,,,,,,,,,,,,
12.781,-91,145.337,38.396429,-78.063471,812.75507,15,146.311,1.08984,219.02,95053,535.685,-627.376,,,,,,,,,,,,,,,,,,,,
12.89,-90,146.064,38.396427,-78.063471,810.02606,15,147.001,1.10938,220.38,95116,530.163,-632.898,,,,,,,,,,,,,,,,,,,,
